,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,4d252b,2025-04-06 18:07:37,LEMG,2025-04-06 21:52:57,EPWA,WZZ17VY ,6622.0,753.0,1684,11,0,1
1,471f6a,2025-04-06 18:28:06,LEMD,2025-04-06 21:50:34,EPWA,WZZ506  ,2753.0,153.0,1719,18,1,1
2,48ada0,2025-04-06 19:36:02,LIMC,2025-04-06 21:26:23,EPWA,LOT2FE  ,766.0,47.0,2368,26,2,1
3,4d24d6,2025-04-06 19:16:14,EGGW,2025-04-06 21:21:13,EPWA,WZZ65ZL ,1207.0,14.0,1638,18,0,1
4,4d200e,2025-04-06 16:07:42,LPMA,2025-04-06 21:10:57,EPWA,WZZ26MQ ,965.0,2.0,1464,26,0,1
5,471f64,2025-04-06 19:25:19,LIPE,2025-04-06 21:08:37,EPWA,WZZ5474 ,2284.0,351.0,2011,3,0,1
6,471f6b,2025-04-06 18:05:05,,2025-04-06 21:06:13,EPWA,WZZ38KV ,,,1677,18,0,1
7,4d2020,2025-04-06 18:55:01,LIRF,2025-04-06 20:55:29,EPWA,WZZ80EX ,210.0,117.0,1654,18,0,1
8,471efd,2025-04-06 19:06:26,LIME,2025-04-06 20:51:07,EPWA,WZZ9100 ,3127.0,416.0,1723,18,1,1
9,471daf,2025-04-06 18:52:08,LSZM,2025-04-06 20:46:56,EPWA,WZZ55LZ ,2349.0,56.0,1607,18,1,1
10,48af01,2025-04-06 18:53:02,LSZH,2025-04-06 20:44:15,EPWA,LOT3EM  ,1480.0,58.0,1612,26,1,1
11,48af0e,2025-04-06 18:42:00,LFPG,2025-04-06 20:41:39,EPWA,LOT336  ,1635.0,147.0,1613,26,2,1
12,4d245f,2025-04-06 17:51:03,LEBL,2025-04-06 20:39:35,EPWA,WZZ6366 ,1841.0,42.0,1689,11,0,1
13,489786,2025-04-06 19:58:19,EPWR,2025-04-06 20:37:41,EPWA,LOT3860 ,648.0,69.0,1517,26,1,1
14,471f31,2025-04-06 17:53:24,LMML,2025-04-06 20:35:09,EPWA,WZZ5782 ,1913.0,30.0,1631,18,0,1
15,44082a,2025-04-06 19:29:04,LOWW,2025-04-06 20:33:22,EPWA,AUA6AW  ,227.0,68.0,1851,3,0,1
16,48ad0c,2025-04-06 19:53:12,EPGD,2025-04-06 20:31:39,EPWA,LOT7VL  ,1785.0,414.0,1190,41,0,1
17,3c6637,2025-04-06 19:01:30,EDDF,2025-04-06 20:29:01,EPWA,DLH5UX  ,962.0,57.0,1402,34,1,1
18,4892c9,2025-04-06 08:18:42,EPWA,2025-04-06 20:26:52,EPWA,ENT76HY ,1197.0,19.0,1981,3,1,1
19,48af12,2025-04-06 18:15:35,LFMN,2025-04-06 20:24:46,EPWA,LOT3PW  ,933.0,34.0,1556,26,0,1
20,48ae80,2025-04-06 17:26:31,LEPA,2025-04-06 20:22:27,EPWA,LOT6230 ,3438.0,258.0,1796,11,1,1
21,485a34,2025-04-06 18:46:31,EHAM,2025-04-06 20:20:29,EPWA,KLM73D  ,1759.0,88.0,1586,26,0,1
22,48ac82,2025-04-06 18:13:59,LSGG,2025-04-06 20:16:50,EPWA,LOT416  ,2876.0,293.0,863,49,1,1
23,39e68a,2025-04-06 18:11:17,LFPG,2025-04-06 20:10:49,EPWA,AFR21LR ,1532.0,78.0,1512,18,2,1
24,48ad19,2025-04-06 19:21:39,,2025-04-06 20:06:07,EPWA,LOT9KM  ,,,1025,49,0,1
25,3c6450,2025-04-06 18:41:11,EDDM,2025-04-06 20:02:03,EPWA,DLH3CN  ,1210.0,34.0,1483,34,0,1
26,48ad80,2025-04-06 18:18:30,ELLX,2025-04-06 19:59:01,EPWA,LOT2YM  ,2116.0,2.0,1670,18,0,1
27,4cae84,2025-04-06 16:54:08,,2025-04-06 19:55:28,EPWA,ENT4878 ,,,1635,18,0,1
28,48af07,2025-04-06 18:14:15,EHAM,2025-04-06 19:53:20,EPWA,LOT2MN  ,4727.0,88.0,1213,49,0,1
29,48ae85,2025-04-06 19:29:18,,2025-04-06 19:51:16,EPWA,LOT4LK  ,,,1467,26,0,1
30,48ae83,2025-04-06 18:00:01,EBBR,2025-04-06 19:49:03,EPWA,LOT4HE  ,1306.0,78.0,1500,26,2,1
31,40615b,2025-04-06 17:41:39,EGLL,2025-04-06 19:46:58,EPWA,BAW8LV  ,668.0,25.0,1514,18,3,1
32,48adb9,2025-04-06 17:35:17,LFHC,2025-04-06 19:44:20,EPWA,LOT348  ,6131.0,1515.0,881,56,1,1
33,48af08,2025-04-06 17:33:01,EGLL,2025-04-06 19:42:08,EPWA,LOT2EJ  ,894.0,32.0,1162,49,3,1
34,48af10,2025-04-06 17:27:03,LIRF,2025-04-06 19:40:09,EPWA,LOT304  ,618.0,186.0,1584,26,0,1
35,48ad82,2025-04-06 18:04:40,EDDL,2025-04-06 19:37:43,EPWA,LOT6PA  ,789.0,90.0,1673,18,0,1
36,4d22c3,2025-04-06 18:38:40,LOWW,2025-04-06 19:35:21,EPWA,RYR64UQ ,1276.0,60.0,1178,49,0,1
37,44ce78,2025-04-06 17:54:09,EBBR,2025-04-06 19:33:00,EPWA,BEL9AN  ,1200.0,71.0,1449,26,2,1
38,48ae86,2025-04-06 15:51:44,,2025-04-06 19:28:11,EPWA,LOT484  ,,,847,56,0,1
39,3cd8d7,2025-04-06 17:51:06,EDLN,2025-04-06 19:23:18,EPWA,DCJKP   ,647.0,7.0,1421,26,1,1
