,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,48ad0f,2025-04-06 21:34:09,EPWA,2025-04-06 22:04:28,EPRJ,LOT3803 ,1225,3,908.0,35.0,1,1
1,48ad0c,2025-04-06 21:32:01,EPWA,2025-04-06 22:08:04,LKMT,LOT5VN  ,728,49,8171.0,299.0,1,2
2,48ad0e,2025-04-06 21:30:03,EPWA,2025-04-06 22:10:52,LZKZ,LOT517  ,838,11,3158.0,59.0,1,1
3,48ac80,2025-04-06 21:28:12,EPWA,2025-04-06 22:29:02,EVRA,LOT3HM  ,684,49,3806.0,80.0,1,3
4,48ae86,2025-04-06 21:24:08,EPWA,2025-04-06 21:38:21,,LOT7YE  ,792,11,,,1,0
5,48adb9,2025-04-06 21:22:38,EPWA,2025-04-06 21:57:20,EPGD,LOT3827 ,511,34,3811.0,64.0,1,2
6,48ac82,2025-04-06 21:20:21,EPWA,2025-04-06 21:48:43,EPKK,LOT3911 ,732,26,746.0,50.0,1,0
7,48ada8,2025-04-06 21:15:48,EPWA,2025-04-06 22:37:12,LROP,LOT1KY  ,804,26,1545.0,71.0,1,2
8,48ad86,2025-04-06 21:12:00,EPWA,2025-04-06 22:44:09,LBSF,LOT635  ,654,49,3773.0,93.0,1,1
9,48ada6,2025-04-06 21:07:31,EPWA,2025-04-06 21:57:00,EYVI,LOT773  ,623,26,621.0,7.0,1,2
10,48ad19,2025-04-06 21:05:17,EPWA,2025-04-06 21:29:15,EPKT,LOT87M  ,818,41,5333.0,176.0,1,1
11,48ad87,2025-04-06 21:01:35,EPWA,2025-04-06 21:38:56,EPWR,LOT2KH  ,269,18,232.0,77.0,1,2
12,48ad10,2025-04-06 20:53:42,EPWA,2025-04-06 21:25:20,EPPO,LOT9WK  ,780,26,175.0,78.0,1,3
13,4d22c3,2025-04-06 20:30:16,EPWA,2025-04-06 21:16:46,LOWW,RYR1GB  ,485,56,554.0,60.0,1,2
14,48ae81,2025-04-06 19:50:30,EPWA,2025-04-06 22:59:52,UG27,LOT723  ,952,11,3567.0,179.0,1,3
15,502d29,2025-04-06 19:29:51,EPWA,2025-04-06 20:59:38,LSZH,SWR9BV  ,506,26,538.0,73.0,1,7
16,461e18,2025-04-06 19:10:31,EPWA,2025-04-06 20:45:05,EFHK,FIN3RB  ,923,26,856.0,46.0,1,2
17,48ada9,2025-04-06 19:04:09,EPWA,2025-04-06 19:34:36,EPPO,LOT3AV  ,600,3,288.0,78.0,1,3
18,48ad09,2025-04-06 19:01:05,EPWA,2025-04-06 20:22:27,ETOU,LOT3MA  ,880,3,7719.0,210.0,1,4
19,48ad84,2025-04-06 18:59:01,EPWA,2025-04-06 20:05:21,EDDM,LOT355  ,917,34,2318.0,26.0,1,4
20,48ada7,2025-04-06 18:53:09,EPWA,2025-04-06 20:01:43,EKCH,LOT4WM  ,774,11,10013.0,215.0,1,1
21,48adae,2025-04-06 18:50:30,EPWA,2025-04-06 20:22:49,ESSA,LOT6AD  ,804,3,2169.0,72.0,1,0
22,48af0c,2025-04-06 18:49:00,EPWA,2025-04-06 20:54:50,EGLL,LOT285  ,623,3,2149.0,63.0,1,7
23,471db6,2025-04-06 18:47:43,EPWA,2025-04-06 20:41:01,LIRN,WMT7GZ  ,588,18,19314.0,961.0,1,0
24,48af11,2025-04-06 18:46:22,EPWA,2025-04-06 20:26:01,EHAM,LOT6MB  ,744,3,2932.0,88.0,1,1
25,489786,2025-04-06 18:43:31,EPWA,2025-04-06 19:15:15,EPWR,LOT3859 ,749,49,67.0,77.0,1,2
26,48ad0d,2025-04-06 18:41:32,EPWA,2025-04-06 19:55:10,EDDH,LOT397  ,1096,18,1086.0,130.0,1,3
27,48ada5,2025-04-06 18:40:15,EPWA,2025-04-06 20:40:19,LTFM,LOT3MT  ,899,34,7044.0,388.0,1,2
28,489788,2025-04-06 18:38:05,EPWA,2025-04-06 19:31:38,EDDB,LOT7AN  ,677,41,10258.0,317.0,1,4
29,48978a,2025-04-06 18:36:50,EPWA,2025-04-06 19:24:34,LKPR,LOT529  ,678,41,331.0,90.0,1,8
30,48ad0c,2025-04-06 18:35:35,EPWA,2025-04-06 19:10:44,EPGD,LOT3825 ,666,49,3418.0,33.0,1,2
